dma,week,conversions,treated,post
DMA_003,49,674.8,0,1
DMA_003,50,698.3,0,1
DMA_003,51,703.8,0,1
DMA_003,52,696.6,0,1
DMA_004,1,491.7,0,0
DMA_004,2,537.2,0,0
DMA_004,3,487.3,0,0
DMA_004,4,494.0,0,0
DMA_004,5,518.8,0,0
DMA_004,6,501.1,0,0
DMA_004,7,530.0,0,0
DMA_004,8,506.1,0,0
DMA_004,9,560.4,0,0
DMA_004,10,533.5,0,0
DMA_004,11,516.5,0,0
DMA_004,12,518.9,0,0
DMA_004,13,521.5,0,0
DMA_004,14,559.8,0,0
DMA_004,15,506.9,0,0
DMA_004,16,518.3,0,0
DMA_004,17,519.3,0,0
DMA_004,18,528.5,0,0
DMA_004,19,521.3,0,0
DMA_004,20,494.3,0,0
DMA_004,21,513.1,0,0
DMA_004,22,515.8,0,0
DMA_004,23,501.7,0,0
DMA_004,24,524.2,0,0
DMA_004,25,524.9,0,0
DMA_004,26,501.0,0,0
DMA_004,27,503.1,0,1
DMA_004,28,451.4,0,1
DMA_004,29,482.4,0,1
DMA_004,30,507.3,0,1
DMA_004,31,475.4,0,1
DMA_004,32,466.2,0,1
DMA_004,33,523.9,0,1
DMA_004,34,512.6,0,1
DMA_004,35,483.9,0,1
DMA_004,36,496.1,0,1
DMA_004,37,428.2,0,1
DMA_004,38,457.0,0,1
DMA_004,39,463.9,0,1
DMA_004,40,469.7,0,1
DMA_004,41,466.3,0,1
DMA_004,42,427.4,0,1
DMA_004,43,489.0,0,1
DMA_004,44,495.5,0,1
DMA_004,45,520.5,0,1
DMA_004,46,477.0,0,1
DMA_004,47,480.0,0,1
DMA_004,48,448.8,0,1
DMA_004,49,501.8,0,1
DMA_004,50,531.2,0,1
DMA_004,51,506.5,0,1
DMA_004,52,567.3,0,1
DMA_005,1,524.2,0,0
DMA_005,2,537.4,0,0
DMA_005,3,512.2,0,0
DMA_005,4,550.1,0,0
DMA_005,5,509.4,0,0
DMA_005,6,567.3,0,0
DMA_005,7,572.1,0,0
DMA_005,8,588.7,0,0
DMA_005,9,544.6,0,0
DMA_005,10,571.4,0,0
DMA_005,11,582.2,0,0
DMA_005,12,582.2,0,0
DMA_005,13,558.0,0,0
DMA_005,14,529.0,0,0
DMA_005,15,584.9,0,0
DMA_005,16,575.6,0,0
DMA_005,17,567.6,0,0
DMA_005,18,594.2,0,0
DMA_005,19,577.7,0,0
DMA_005,20,551.5,0,0
DMA_005,21,538.3,0,0
DMA_005,22,553.1,0,0
DMA_005,23,622.2,0,0
DMA_005,24,587.3,0,0
DMA_005,25,574.9,0,0
DMA_005,26,565.8,0,0
DMA_005,27,562.8,0,1
DMA_005,28,589.5,0,1
DMA_005,29,554.8,0,1
DMA_005,30,574.8,0,1
DMA_005,31,555.1,0,1
DMA_005,32,599.9,0,1
DMA_005,33,575.2,0,1
DMA_005,34,584.9,0,1
DMA_005,35,548.3,0,1
DMA_005,36,581.5,0,1
DMA_005,37,554.8,0,1
DMA_005,38,564.4,0,1
DMA_005,39,596.4,0,1
DMA_005,40,544.8,0,1
DMA_005,41,572.1,0,1
DMA_005,42,579.5,0,1
DMA_005,43,584.3,0,1
DMA_005,44,568.4,0,1
DMA_005,45,623.0,0,1
DMA_005,46,559.6,0,1
DMA_005,47,619.1,0,1
DMA_005,48,618.9,0,1
DMA_005,49,637.5,0,1
DMA_005,50,572.8,0,1
DMA_005,51,592.3,0,1
DMA_005,52,644.7,0,1
DMA_006,1,401.6,0,0
DMA_006,2,416.5,0,0
DMA_006,3,448.1,0,0
DMA_006,4,470.7,0,0
DMA_006,5,507.2,0,0
DMA_006,6,479.7,0,0
DMA_006,7,478.8,0,0
DMA_006,8,504.0,0,0
DMA_006,9,513.3,0,0
DMA_006,10,518.0,0,0
DMA_006,11,510.2,0,0
DMA_006,12,478.3,0,0
DMA_006,13,501.9,0,0
DMA_006,14,550.6,0,0
DMA_006,15,527.0,0,0
DMA_006,16,517.1,0,0
DMA_006,17,545.3,0,0
DMA_006,18,499.0,0,0
DMA_006,19,515.0,0,0
DMA_006,20,519.6,0,0
DMA_006,21,504.7,0,0
DMA_006,22,511.7,0,0
DMA_006,23,501.8,0,0
DMA_006,24,473.0,0,0
DMA_006,25,499.9,0,0
DMA_006,26,464.9,0,0
DMA_006,27,490.0,0,1
DMA_006,28,509.4,0,1
DMA_006,29,471.8,0,1
DMA_006,30,449.8,0,1
DMA_006,31,466.9,0,1
DMA_006,32,449.5,0,1
DMA_006,33,475.3,0,1
DMA_006,34,458.4,0,1
DMA_006,35,494.2,0,1
DMA_006,36,482.7,0,1
DMA_006,37,456.6,0,1
DMA_006,38,475.1,0,1
DMA_006,39,454.9,0,1
DMA_006,40,466.2,0,1
DMA_006,41,462.0,0,1
DMA_006,42,489.1,0,1
DMA_006,43,507.8,0,1
DMA_006,44,501.2,0,1
DMA_006,45,510.5,0,1
DMA_006,46,518.0,0,1
DMA_006,47,518.6,0,1
DMA_006,48,493.4,0,1
DMA_006,49,559.1,0,1
DMA_006,50,570.5,0,1
DMA_006,51,539.2,0,1
DMA_006,52,546.0,0,1
DMA_007,1,548.5,0,0
DMA_007,2,555.2,0,0
DMA_007,3,547.9,0,0
DMA_007,4,534.5,0,0
DMA_007,5,572.8,0,0
DMA_007,6,584.5,0,0
DMA_007,7,594.3,0,0
DMA_007,8,592.5,0,0
DMA_007,9,585.3,0,0
DMA_007,10,615.2,0,0
DMA_007,11,600.6,0,0
DMA_007,12,593.2,0,0
DMA_007,13,601.4,0,0
DMA_007,14,571.9,0,0
DMA_007,15,604.3,0,0
DMA_007,16,622.1,0,0
DMA_007,17,614.9,0,0
DMA_007,18,637.7,0,0
DMA_007,19,600.6,0,0
DMA_007,20,613.6,0,0
DMA_007,21,617.3,0,0
DMA_007,22,645.4,0,0
DMA_007,23,598.3,0,0
DMA_007,24,571.1,0,0
DMA_007,25,605.4,0,0
DMA_007,26,622.0,0,0
DMA_007,27,574.6,0,1
DMA_007,28,594.3,0,1
DMA_007,29,598.6,0,1
DMA_007,30,591.2,0,1
DMA_007,31,570.5,0,1
DMA_007,32,551.6,0,1
DMA_007,33,562.0,0,1
DMA_007,34,571.3,0,1
DMA_007,35,579.5,0,1
DMA_007,36,567.7,0,1
DMA_007,37,553.9,0,1
DMA_007,38,573.7,0,1
DMA_007,39,581.6,0,1
DMA_007,40,574.5,0,1
DMA_007,41,553.5,0,1
DMA_007,42,570.5,0,1
DMA_007,43,597.6,0,1
DMA_007,44,556.2,0,1
DMA_007,45,547.8,0,1
DMA_007,46,626.2,0,1
DMA_007,47,613.0,0,1
DMA_007,48,622.1,0,1
DMA_007,49,596.0,0,1
DMA_007,50,640.0,0,1
DMA_007,51,638.7,0,1
DMA_007,52,609.5,0,1
DMA_008,1,481.4,0,0
DMA_008,2,462.0,0,0
DMA_008,3,456.7,0,0
DMA_008,4,462.7,0,0
DMA_008,5,435.3,0,0
DMA_008,6,492.5,0,0
DMA_008,7,490.6,0,0
DMA_008,8,485.9,0,0
DMA_008,9,519.2,0,0
DMA_008,10,469.4,0,0
DMA_008,11,488.2,0,0
DMA_008,12,485.6,0,0
DMA_008,13,499.0,0,0
DMA_008,14,507.3,0,0
DMA_008,15,515.5,0,0
DMA_008,16,500.4,0,0
DMA_008,17,489.8,0,0
DMA_008,18,540.5,0,0
DMA_008,19,554.1,0,0
DMA_008,20,507.5,0,0
DMA_008,21,487.8,0,0
DMA_008,22,530.5,0,0
DMA_008,23,469.9,0,0
DMA_008,24,489.7,0,0
DMA_008,25,480.0,0,0
DMA_008,26,468.2,0,0
DMA_008,27,483.2,0,1
DMA_008,28,469.0,0,1
DMA_008,29,484.2,0,1
DMA_008,30,482.3,0,1
DMA_008,31,467.4,0,1
DMA_008,32,470.8,0,1
DMA_008,33,472.2,0,1
DMA_008,34,492.1,0,1
DMA_008,35,472.5,0,1
DMA_008,36,491.9,0,1
DMA_008,37,487.5,0,1
DMA_008,38,488.2,0,1
DMA_008,39,506.0,0,1
DMA_008,40,457.8,0,1
DMA_008,41,473.2,0,1
DMA_008,42,520.9,0,1
DMA_008,43,484.0,0,1
DMA_008,44,436.7,0,1
DMA_008,45,493.3,0,1
DMA_008,46,504.8,0,1
DMA_008,47,454.8,0,1
DMA_008,48,539.2,0,1
DMA_008,49,503.9,0,1
DMA_008,50,530.5,0,1
DMA_008,51,525.3,0,1
DMA_008,52,510.0,0,1
DMA_009,1,542.3,0,0
DMA_009,2,552.1,0,0
DMA_009,3,599.5,0,0
DMA_009,4,581.6,0,0
DMA_009,5,580.6,0,0
DMA_009,6,578.5,0,0
DMA_009,7,627.0,0,0
DMA_009,8,637.7,0,0
DMA_009,9,637.0,0,0
DMA_009,10,627.6,0,0
DMA_009,11,627.4,0,0
DMA_009,12,600.7,0,0
DMA_009,13,622.8,0,0
DMA_009,14,616.3,0,0
DMA_009,15,595.1,0,0
DMA_009,16,653.8,0,0
DMA_009,17,619.3,0,0
DMA_009,18,657.2,0,0
DMA_009,19,650.4,0,0
DMA_009,20,643.1,0,0
DMA_009,21,643.0,0,0
DMA_009,22,616.9,0,0
DMA_009,23,664.5,0,0
DMA_009,24,626.2,0,0
DMA_009,25,629.2,0,0
DMA_009,26,608.0,0,0
DMA_009,27,600.1,0,1
DMA_009,28,626.1,0,1
DMA_009,29,618.9,0,1
DMA_009,30,597.0,0,1
DMA_009,31,582.4,0,1
DMA_009,32,584.6,0,1
DMA_009,33,633.0,0,1
DMA_009,34,596.4,0,1
DMA_009,35,601.9,0,1
DMA_009,36,638.3,0,1
DMA_009,37,587.9,0,1
DMA_009,38,597.4,0,1
DMA_009,39,598.8,0,1
DMA_009,40,649.3,0,1
DMA_009,41,660.1,0,1
DMA_009,42,639.2,0,1
DMA_009,43,644.2,0,1
DMA_009,44,621.9,0,1
DMA_009,45,677.8,0,1
DMA_009,46,650.0,0,1
DMA_009,47,667.9,0,1
DMA_009,48,655.3,0,1
DMA_009,49,658.8,0,1
DMA_009,50,704.4,0,1
DMA_009,51,689.0,0,1
DMA_009,52,714.5,0,1
DMA_010,1,506.4,0,0
DMA_010,2,491.9,0,0
DMA_010,3,504.7,0,0
DMA_010,4,525.7,0,0
DMA_010,5,518.1,0,0
DMA_010,6,515.0,0,0
DMA_010,7,567.4,0,0
DMA_010,8,538.1,0,0
DMA_010,9,556.8,0,0
DMA_010,10,564.5,0,0
DMA_010,11,550.7,0,0
DMA_010,12,594.7,0,0
DMA_010,13,545.9,0,0
DMA_010,14,575.3,0,0
DMA_010,15,576.3,0,0
DMA_010,16,570.9,0,0
DMA_010,17,546.0,0,0
DMA_010,18,588.7,0,0
DMA_010,19,585.0,0,0
DMA_010,20,554.9,0,0
DMA_010,21,580.5,0,0
DMA_010,22,571.3,0,0
DMA_010,23,535.4,0,0
DMA_010,24,540.9,0,0
DMA_010,25,577.6,0,0
DMA_010,26,557.7,0,0
DMA_010,27,537.0,0,1
DMA_010,28,527.9,0,1
DMA_010,29,531.7,0,1
DMA_010,30,530.4,0,1
DMA_010,31,519.8,0,1
DMA_010,32,499.8,0,1
DMA_010,33,555.8,0,1
DMA_010,34,551.2,0,1
DMA_010,35,505.7,0,1
DMA_010,36,533.9,0,1
DMA_010,37,513.7,0,1
DMA_010,38,527.8,0,1
DMA_010,39,528.0,0,1
DMA_010,40,528.9,0,1
DMA_010,41,580.7,0,1
DMA_010,42,535.7,0,1
DMA_010,43,532.9,0,1
DMA_010,44,538.9,0,1
DMA_010,45,580.6,0,1
DMA_010,46,532.9,0,1
DMA_010,47,557.2,0,1
DMA_010,48,608.4,0,1
DMA_010,49,591.6,0,1
DMA_010,50,598.0,0,1
DMA_010,51,644.5,0,1
DMA_010,52,614.5,0,1
DMA_011,1,543.4,0,0
DMA_011,2,558.0,0,0
DMA_011,3,546.8,0,0
DMA_011,4,600.4,0,0
DMA_011,5,592.2,0,0
DMA_011,6,608.3,0,0
DMA_011,7,614.7,0,0
DMA_011,8,586.5,0,0
DMA_011,9,579.6,0,0
DMA_011,10,600.8,0,0
DMA_011,11,587.1,0,0
DMA_011,12,610.0,0,0
DMA_011,13,630.9,0,0
DMA_011,14,605.8,0,0
DMA_011,15,612.6,0,0
DMA_011,16,607.5,0,0
DMA_011,17,624.8,0,0
DMA_011,18,594.1,0,0
DMA_011,19,561.8,0,0
DMA_011,20,613.0,0,0
DMA_011,21,620.8,0,0
DMA_011,22,607.1,0,0
DMA_011,23,582.2,0,0
DMA_011,24,568.9,0,0
DMA_011,25,598.0,0,0
DMA_011,26,587.4,0,0
DMA_011,27,578.5,0,1
DMA_011,28,613.9,0,1
DMA_011,29,555.2,0,1
DMA_011,30,606.5,0,1
DMA_011,31,568.7,0,1
DMA_011,32,528.8,0,1
DMA_011,33,559.8,0,1
DMA_011,34,580.8,0,1
DMA_011,35,553.1,0,1
DMA_011,36,530.2,0,1
DMA_011,37,556.2,0,1
DMA_011,38,542.8,0,1
DMA_011,39,570.7,0,1
DMA_011,40,577.9,0,1
DMA_011,41,543.5,0,1
DMA_011,42,553.2,0,1
DMA_011,43,585.7,0,1
DMA_011,44,557.2,0,1
DMA_011,45,557.0,0,1
DMA_011,46,559.8,0,1
DMA_011,47,595.5,0,1
DMA_011,48,600.0,0,1
DMA_011,49,585.9,0,1
DMA_011,50,605.6,0,1
DMA_011,51,642.0,0,1
DMA_011,52,598.1,0,1
DMA_012,1,382.0,0,0
DMA_012,2,436.6,0,0
DMA_012,3,431.7,0,0
DMA_012,4,425.8,0,0
DMA_012,5,458.9,0,0
DMA_012,6,468.2,0,0
DMA_012,7,412.5,0,0
DMA_012,8,448.4,0,0
DMA_012,9,512.1,0,0
DMA_012,10,481.3,0,0
DMA_012,11,486.4,0,0
DMA_012,12,499.2,0,0
DMA_012,13,478.3,0,0
DMA_012,14,495.6,0,0
DMA_012,15,495.2,0,0
DMA_012,16,492.2,0,0
DMA_012,17,475.1,0,0
DMA_012,18,484.6,0,0
DMA_012,19,468.6,0,0
DMA_012,20,479.3,0,0
DMA_012,21,454.1,0,0
DMA_012,22,459.7,0,0
DMA_012,23,467.7,0,0
DMA_012,24,452.1,0,0
DMA_012,25,458.4,0,0
DMA_012,26,462.6,0,0
DMA_012,27,471.4,0,1
DMA_012,28,479.8,0,1
DMA_012,29,449.2,0,1
DMA_012,30,483.0,0,1
DMA_012,31,473.1,0,1
DMA_012,32,462.8,0,1
DMA_012,33,454.5,0,1
DMA_012,34,457.0,0,1
DMA_012,35,474.0,0,1
DMA_012,36,474.8,0,1
DMA_012,37,477.7,0,1
DMA_012,38,453.0,0,1
DMA_012,39,464.9,0,1
DMA_012,40,482.9,0,1
DMA_012,41,446.4,0,1
DMA_012,42,455.8,0,1
DMA_012,43,466.4,0,1
DMA_012,44,488.4,0,1
DMA_012,45,493.5,0,1
DMA_012,46,475.7,0,1
DMA_012,47,455.8,0,1
DMA_012,48,496.7,0,1
DMA_012,49,479.6,0,1
DMA_012,50,474.5,0,1
DMA_012,51,485.4,0,1
DMA_012,52,523.8,0,1
DMA_013,1,528.1,0,0
DMA_013,2,506.3,0,0
DMA_013,3,514.2,0,0
DMA_013,4,538.0,0,0
DMA_013,5,487.6,0,0
DMA_013,6,532.9,0,0
DMA_013,7,526.0,0,0
DMA_013,8,541.1,0,0
DMA_013,9,523.2,0,0
DMA_013,10,519.4,0,0
DMA_013,11,541.1,0,0
DMA_013,12,573.4,0,0
DMA_013,13,559.4,0,0
DMA_013,14,533.5,0,0
DMA_013,15,517.8,0,0
DMA_013,16,511.7,0,0
DMA_013,17,572.0,0,0
DMA_013,18,526.6,0,0
DMA_013,19,539.0,0,0
DMA_013,20,571.3,0,0
DMA_013,21,511.9,0,0
DMA_013,22,573.0,0,0
DMA_013,23,536.9,0,0
DMA_013,24,517.7,0,0
DMA_013,25,534.3,0,0
DMA_013,26,523.4,0,0
DMA_013,27,545.3,0,1
DMA_013,28,522.1,0,1
DMA_013,29,495.5,0,1
DMA_013,30,528.2,0,1
DMA_013,31,504.5,0,1
DMA_013,32,534.9,0,1
DMA_013,33,506.5,0,1
DMA_013,34,520.2,0,1
DMA_013,35,533.7,0,1
DMA_013,36,526.1,0,1
DMA_013,37,536.1,0,1
DMA_013,38,545.7,0,1
DMA_013,39,510.4,0,1
DMA_013,40,534.0,0,1
DMA_013,41,470.9,0,1
DMA_013,42,544.9,0,1
DMA_013,43,536.8,0,1
DMA_013,44,526.3,0,1
DMA_013,45,555.8,0,1
DMA_013,46,576.7,0,1
DMA_013,47,547.7,0,1
DMA_013,48,542.5,0,1
DMA_013,49,569.1,0,1
DMA_013,50,543.5,0,1
DMA_013,51,561.6,0,1
DMA_013,52,603.9,0,1
DMA_014,1,339.9,0,0
DMA_014,2,307.3,0,0
DMA_014,3,315.0,0,0
DMA_014,4,360.0,0,0
DMA_014,5,379.6,0,0
DMA_014,6,335.4,0,0
DMA_014,7,381.7,0,0
DMA_014,8,403.9,0,0
DMA_014,9,419.2,0,0
DMA_014,10,391.8,0,0
DMA_014,11,398.5,0,0
DMA_014,12,348.4,0,0
DMA_014,13,435.3,0,0
DMA_014,14,383.4,0,0
DMA_014,15,377.4,0,0
DMA_014,16,391.7,0,0
DMA_014,17,427.2,0,0
DMA_014,18,440.8,0,0
DMA_014,19,398.4,0,0
DMA_014,20,414.8,0,0
DMA_014,21,394.2,0,0
DMA_014,22,370.8,0,0
DMA_014,23,419.1,0,0
DMA_014,24,375.0,0,0
DMA_014,25,415.8,0,0
DMA_014,26,408.7,0,0
DMA_014,27,392.7,0,1
DMA_014,28,414.6,0,1
DMA_014,29,420.5,0,1
DMA_014,30,370.4,0,1
DMA_014,31,356.0,0,1
DMA_014,32,333.4,0,1
DMA_014,33,414.5,0,1
DMA_014,34,360.0,0,1
DMA_014,35,391.2,0,1
DMA_014,36,353.9,0,1
DMA_014,37,400.1,0,1
DMA_014,38,356.5,0,1
DMA_014,39,348.4,0,1
DMA_014,40,370.2,0,1
DMA_014,41,366.5,0,1
DMA_014,42,392.2,0,1
DMA_014,43,383.0,0,1
DMA_014,44,400.7,0,1
DMA_014,45,387.0,0,1
DMA_014,46,384.5,0,1
DMA_014,47,391.4,0,1
DMA_014,48,449.6,0,1
DMA_014,49,419.1,0,1
DMA_014,50,380.9,0,1
DMA_014,51,416.4,0,1
DMA_014,52,435.0,0,1
DMA_015,1,489.3,0,0
DMA_015,2,479.3,0,0
DMA_015,3,446.6,0,0
DMA_015,4,519.5,0,0
DMA_015,5,476.4,0,0
DMA_015,6,507.6,0,0
DMA_015,7,465.0,0,0
DMA_015,8,445.1,0,0
DMA_015,9,469.5,0,0
DMA_015,10,436.9,0,0
DMA_015,11,547.9,0,0
DMA_015,12,513.3,0,0
DMA_015,13,493.4,0,0
DMA_015,14,523.4,0,0
DMA_015,15,520.1,0,0
DMA_015,16,530.3,0,0
DMA_015,17,543.2,0,0
DMA_015,18,513.9,0,0
DMA_015,19,502.4,0,0
DMA_015,20,536.5,0,0
DMA_015,21,535.7,0,0
DMA_015,22,521.1,0,0
DMA_015,23,561.8,0,0
DMA_015,24,508.6,0,0
DMA_015,25,498.2,0,0
DMA_015,26,523.5,0,0
DMA_015,27,500.5,0,1
DMA_015,28,522.8,0,1
DMA_015,29,495.3,0,1
DMA_015,30,503.2,0,1
DMA_015,31,548.4,0,1
DMA_015,32,502.1,0,1
DMA_015,33,494.3,0,1
DMA_015,34,534.0,0,1
DMA_015,35,490.2,0,1
DMA_015,36,498.5,0,1
DMA_015,37,525.4,0,1
DMA_015,38,534.6,0,1
DMA_015,39,542.7,0,1
DMA_015,40,506.3,0,1
DMA_015,41,536.5,0,1
DMA_015,42,519.0,0,1
DMA_015,43,520.4,0,1
DMA_015,44,561.2,0,1
DMA_015,45,531.2,0,1
DMA_015,46,553.1,0,1
DMA_015,47,556.3,0,1
DMA_015,48,537.7,0,1
DMA_015,49,584.5,0,1
DMA_015,50,582.7,0,1
DMA_015,51,538.1,0,1
DMA_015,52,589.9,0,1
